no,ci,cr,ct,pn,pl,lus,wc,bf,esd, tcag , afa , gfa , bh ,nb,tfn,nfag,nfbg,ft,dsc,dsho, ca ,dp, ac ,codr,accodr
218,DTU,Alemnew Abrha B.C,CDSCO,G+1 Laboratoty CYT Building,Debre Tabor,Urban,Temprate,laboratory,No,"1,769.90",647,"1,941.00",13.37,1,3,2,0,Open,29/10/2004 E.C,05/11/04 E.C,16439682.76,04/09/07 E.C,17869220.39,365.00,1029.00
219,DTU,Alemnew Abrha B.C,CDSCO,G+1 teachers launge TL-T1 building,Debre Tabor,Urban,Temprate,lounge,No,239.12,137.9,275.8,8.01,1,2,1,0,Open,29/10/2004 E.C,05/11/04 E.C,1404577.49,04/09/07 E.C,1526714.66,365.00,1029.00
220,DTU,Abay Demissie B.C,MH Engineering PLC,G+1 Audiomax Building,Debre Tabor,Urban,Temprate,Hall,No,"2,050.51",755.83,"1,511.65",10,1,2,1,0,Open,29/10/2004 E.C,30/10/2004 E.C,11236546.70,24/02/2007 E.C,12761495.52,240.00,849.00
221,DTU,Abay Demissie B.C,MH Engineering PLC,G+2 Dormitory Do-T1 WTV Building,Debre Tabor,Urban,Temprate,Dormitory,No,626.85,297.65,892.96,11.7,1,3,2,0,Open,29/10/2004 E.C,30/10/2004 E.C,6764924.92,24/02/2007 E.C,7683015.20,240.00,849.00
222,DTU,Abay Demissie B.C,Building & Urban Design & Supervision on Work Sector,G+4 Staff Apartment Building,Debre Tabor,Urban,Temprate,Residential,No,"1,200.00",564.79,"2,823.96",20.63,1,5,4,0,Limited,18/09/2009 E.C,19/09/2009 E.C,48969974.91,29/07/2013 E.C,92553252.60,766.00,1259.00
223,DTU,Takele Tadele B.C,CDSCO,G+2 Dormitory Do-CYT Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,290.03",615.1,"1,845.29",10.79,1,3,2,0,Open,26/03/2007 E.C,26/03/2007 E.C,13906622.93,12/04/2008 E.C,13906622.93,270.00,381.00
224,DTU,Takele Tadele B.C,CDSCO, Lecture Hall DHB-T2 Building,Debre Tabor,Urban,Temprate,Lecture Hall,No,493.59,704.96,704.96,7.87,1,1,0,0,Open,26/03/2007 E.C,26/03/2007 E.C,2862497.63,12/04/2008 E.C,2862497.63,270.00,381.00
225,DTU,Abay Demissie B.C,Ultimate Plan PLC,G+2 Dormitory CYT Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,290.03",348.5,"1,845.29",10.79,1,3,2,0,Open,12/02/2006 E.C,3/02/2006 E.C,16702406.08,04/04/2007 E.C,16702406.08,300.00,416.00
226,DTU,Abay Demissie B.C,Ultimate Plan PLC,G+2 Dormitory Do T3 Building,Debre Tabor,Urban,Temprate,Dormitory,No,272.64,215.2,"1,291.20",10.79,2,6,4,0,Open,12/02/2006 E.C,3/02/2006 E.C,5214228.86,04/04/2007 E.C,5214228.86,300.00,416.00
227,DTU,Agegn Demissie B.C,Ultimate Plan PLC,Dormitory Building,Debre Tabor,Urban,Temprate,Dormitory,No,"2,580.07",615.1,"3,690.58",10.79,2,6,2,0,Limited,29/10/2004 E.C,29/10/2004 E.C,24115289.50,19/05/2008 E.C,24595968.56,240.00,1295.00
228,DTU,Assefa Alemu B.C,Ultimate Plan PLC,3 Loundary Building,Debre Tabor,Urban,Temprate,Wasing Basin,No,432,144,432,4.1,3,3,0,0,Open,26/03/2007 E.C,08/04/2007 E.C,7682056.11,08/02/2008 E.C,8459799.74,270.00,305.00
229,DTU,Assefa Alemu B.C,Ultimate Plan PLC,G+2 Dormitory Do T1 Building,Debre Tabor,Urban,Temprate,Dormitory,No,784,297.65,892.96,11.7,1,3,2,0,Open,26/03/2007 E.C,08/04/2007 E.C,9435231.80,08/02/2008 E.C,10390469.74,270.00,305.00
